Year,Set Number,Main Category,Specific Topic,Core Discussion Question,Other Questions,Suggested Vocabulary or Key Points,Source
2024,3.2,Technology / Media,Podcasting,Plan a series of podcasts to promote Hong Kong to visitors.,Which type of podcast can best promote Hong Kong; what to include in the podcasts; how to keep listeners interested in the series.,On-demand audio; niche topics; intimate/personal connection; diverse genres; storytelling; ease of access; streaming vs downloading; promoting HK to visitors.,2
2024,3.3,Social Issues / Food,Feeding Communities,Discuss how to help communities in need regarding food security.,Why it is important for young people to help communities in need; which of the two projects (Blue Fridge or Food Angel) would be best for school; what else your school can do.,Food security; zero-waste; Food Angel (food recovery); community fridge (Blue Fridge); social responsibility; volunteering; charity; supporting vulnerable groups.,2
2024,4.1,Education / Careers,Vocational Training in Germany,Discuss job training for secondary school graduates.,What vocational training offers that university does not; how vocational training can benefit society; what would attract more students to join a vocational training course.,On-the-job training; earning while learning; transition to work life; societal value of practical skills.,2
2024,4.2,School Life / Culture,School Book Club,Suggest changes to improve the school Book Club.,Why students should join a book club; why students may not be interested in joining a book club; how to make meetings more interesting and enjoyable.,Moving beyond classics to modern books; avoiding boring vocabulary drills; inclusive discussion; social aspect/snacks.,2
2024,4.3,Hong Kong Culture / Tourism,Smells of Hong Kong,Set up a stall to introduce the different smells of Hong Kong.,Why introducing Hong Kong through smells is a good idea; which three smells best represent Hong Kong and why; ways to attract visitors to your stall.,Street food and stinky tofu; incense in temples; exhaust fumes vs greenery; fragrant harbour identity.,2
2024,5.1,Social Issues / Media,TV Talent Shows,Share views about TV talent shows for a local TV company.,Why TV talent shows are popular; how participants can benefit from being in TV talent shows; what problems participants could face.,Reality TV; quest for fame; public exposure; professional training; pressure/mental health; dream pursuit; audience engagement; commercialisation of talent.,2
2024,5.2,Careers / Social Issues,Top Jobs of the Future,Discuss demand for future jobs for a school job fair.,Why there will be a demand for the jobs mentioned; which jobs will attract the most students; how to promote the job fair.,Job fair; emerging industries; career planning; skill-set requirements; impact of technology/automation; disappearing jobs; future-proofing careers.,2
2024,5.3,Education,Homeschooling,Discuss the idea of homeschooling in Hong Kong.,Pros of homeschooling; cons of homeschooling; whether homeschooling will become more popular in Hong Kong.,Tailored curriculum; flexible schedule; parental involvement; socialisation concerns; formal vs informal education; academic pressure; self-directed learning.,2
2024,6.1,School Life / Culture,Calligraphy Club,Discuss whether a calligraphy club is a good choice for school.,Whether handwriting is still important today; how students can improve their handwriting; activities that can be held by the club.,Penmanship; digital age impact (typing/texting); hand-eye coordination; fine motor skills; cultural identity; art form vs functional skill; therapeutic benefits.,2
2024,6.2,School Life / Environment,Urban Rooftop Farming,Discuss starting an urban farm on the school rooftop.,The benefits of having a farm on the school?�s rooftop; how you will organise the care of the farm; what you will do with the food you grow.,Food imports dependence; unused rooftop space; sustainable skill; environmental benefits; local produce; community bonding; green planet.,2
2024,6.3,Technology / Careers,Teens Earning Money Online,Discuss online job options for secondary school students.,The advantages of working online; the disadvantages of working online; which online job Hong Kong teenagers would be most interested in.,"Gig economy; digital literacy; entrepreneurship; flexibility; risks (scams, overwork); content creation; tutoring; balancing work and study.",2
2024,7.1,School Life / Education,School Trip Planning,Plan a school trip to a local attraction.,The benefits of learning outside of the classroom; what to consider when deciding which attraction to choose; which of these attractions your group would recommend.,"Destination selection (e.g., Science Museum, Tai Kwun); educational value; experiential learning; logistics/arrangement; student engagement; beyond classroom learning.",2
2024,7.2,Mental Health / Well-being,Sleeping Pods in Schools,Discuss buying sleeping pods for the school Health Club.,The benefits of taking afternoon naps; how to promote the use of sleeping pods; whether afternoon naps should be included in the school timetable.,"""Take-A-Nap"" campaign; rest and productivity; mental well-being; campus facilities; time management; health benefits; reducing burnout.",2
2024,7.3,School Life / Hong Kong Culture,Mascot for Cross Harbour Race,Discuss ideas for designing a mascot for the Cross Harbour Race.,What qualities make a good mascot; what to consider when choosing a mascot for the Cross Harbour Race; whether you would recommend using any of the characters shown.,Creative design; brand identity; public promotion; symbolic representation (Victoria Harbour); community participation; character design; sportsmanship.,2
2024,8.1,School Life / Technology,Instant Noodles Exhibition,Discuss including instant noodles in a school exhibition on inventions.,Why instant noodles are popular; whether instant noodles should be included in the exhibition; other inventions that could be included.,"Global invention; convenience; nutritional concerns (salt, additives); cultural icon; food technology; exhibition planning; impact on modern lifestyle.",2
2024,8.2,Technology / Global Issues,Private Space Travel,Discuss the issue of private space travel.,The benefits of private space travel; the disadvantages of private space travel; whether private space travel should be encouraged.,Space tourism; billionaires' hobby; environmental impact; technological advancement; high cost; safety concerns; future of humanity; research potential.,2
2024,8.3,Technology / Careers,Shopping on Social Media,Discuss a project on shopping on social media.,The benefits of shopping on social media; the benefits of selling on social media; how shopping through social media may affect traditional businesses.,Social commerce; trust and security; consumer protection (scams); convenience; influencer influence; impact on traditional retail; product quality concerns.,2
2023,1.1,Technology / Society,Unmanned convenience stores in Japan,Discuss the benefits and limitations of unmanned convenience stores.,The benefits of unmanned convenience stores; the limitations of unmanned convenience stores; whether unmanned convenience stores are a good idea for Hong Kong.,Slick checkout systems; reduced human staff; gates to prevent theft; impersonal shopping experience; automation vs convenience.,3
2023,1.2,Technology / Society,Cinemas vs Movie Streaming Services,Discuss the impact of streaming on the entertainment industry and cinemas.,Whether going to cinemas is a popular pastime in Hong Kong; what cinemas can do to compete with movie streaming services; any disadvantages of movie streaming services.,Cost-effectiveness; convenience (anywhere access); original content; impact of COVID; competition strategies for cinemas.,3
2023,1.3,Health / Environment,Plant-based meats (Fake meat),Discuss serving plant-based meats in the school canteen on Green Mondays.,Why plant-based meats are gaining popularity; whether your school should encourage students to take up a vegetarian diet; whether people will eat less meat in the future.,Health and climate change concerns; Cantonese fine-dining with fake meat; essential nature of meat in Chinese cuisine.,3
2023,2.1,Mental Health / Work,Night Owls vs Early Birds,Discuss sleeping patterns and individual body clocks.,The advantages of being a night owl; the advantages of getting up early; whether companies should have flexible working hours for different sleeping patterns.,Health risks of sleep deprivation; genetic vs environmental factors; productivity gains from flexible schedules.,3
2023,2.2,Education / Social Media,Teacher-Student Social Media Ban,Discuss the proposal not to allow teachers and students to be friends on social media.,Why students like to connect with their teachers on social media; problems with connecting with teachers on social media; whether you agree with the proposed policy.,Professional vs personal lines; leaders/role models online; inappropriate photo complaints; school monitoring and safety.,3
2023,2.3,School Life / Hong Kong Culture,Graduation celebration ideas,Plan a graduation celebration for your class.,What to consider when planning a graduation celebration; whether any suggested activities are suitable; how else you might celebrate your graduation.,Outdoor vs indoor; thrill-seeking vs learning; meaningful ways to celebrate; planning considerations (cost/suitability).,3
2023,3.1,Technology / Society,Fashion industry post-pandemic,Discuss people's attitudes towards buying clothes since the start of the pandemic.,How the pandemic has changed the way people dress; how the pandemic has changed the way people shop for clothes; how the fashion industry can cater for these changes.,"Rise of comfortable/casual clothing (sweats, yoga pants); influence of social media (TikTok/Instagram); experimental fashion from home.",3
2023,3.2,Education / School Life,Soji (School Cleaning sessions),Discuss adding cleaning sessions (soji) to the school timetable.,Benefits of adding cleaning sessions to the timetable; possible problems of requiring students to clean the school; cleaning tasks that are suitable for different forms.,Japanese tradition (soji); responsibility and cooperation; sense of self-worth; possible resistance and boring nature of tasks.,3
2023,3.3,Mental Health / Environment,Horticultural therapy,Discuss developing students' interest in growing plants to promote well-being.,What benefits growing plants can bring to students and the school; whether growing plants will be popular among students; what other activities can help promote students' well-being.,Calming nature of plants; stress reduction; nature's impact on heart rate; green spaces in HK schools.,3
2023,4.1,Technology / Health,Wearable smart devices,Discuss new technologies focusing on wearable smart devices.,Why wearable smart devices are becoming popular; the disadvantages of wearable smart devices; whether wearable smart devices should be allowed at school.,Health-tracking data; being less distracted than with phones; privacy concerns; fashionable vs waste of money.,3
2023,4.2,Mental Health / Education,Adaptability quotient (AQ),Brainstorm ideas for a school workshop on adaptability quotient.,Why being adaptable is becoming more important nowadays; whether being adaptable is more important than being intelligent; whether it is possible to teach adaptability.,Learning to change with tech; seeking new experiences; training the brain to be open-minded; risk-taking.,3
2023,4.3,Mental Health / Social Media,Social Media Positivity,Discuss the impact of social media on students' well-being.,What kind of people are popular on social media; the negative effects of social media on users; what the club can do to help promote better social media habits.,Filtering negative feeds; being intentional (limiting time); addiction and self-esteem; lack of compassion online.,3
2023,5.1,Global Issues / Society,DNA tests for family history,Discuss the use of DNA tests to help research family history and personality.,Why people want to know about their family history; whether there are any disadvantages to DNA testing; other ways to find out about your family history.,Curiosity about origins; finding distant relatives; personality traits in genes; disadvantages like privacy or shock results.,3
2023,5.2,Technology / Work,Carousell for Fundraising,Discuss using Carousell to sell products donated by students for a school fundraiser.,The benefits of buying and selling products online; how to organise the donations for Carousell; any problems which might occur from selling online.,"Snap, list, sell model; decluttering; problems like trust or online scams; qualities of entrepreneurs.",3
2023,5.3,Health / Technology,Online fitness classes,Discuss joining online fitness classes with friends.,Advantages of online fitness classes; things to consider when choosing an online fitness class; whether online fitness classes will continue to be popular.,Socializing during distancing; value for money; comfort of home; inactive lifestyle risks; being an active person.,3
2023,6.1,Education / Work,Storytelling in advertising,Discuss using storytelling to advertise a new sports drink called 'Champion'.,Whether storytelling is a good way to advertise; what ideas can be used in a storyline; how to make the advertisement memorable.,Appealing to the heart; creating emotional connections; humor and surprise; effectiveness of celebrities.,3
2023,6.2,Mental Health / Education,Good study habits for S.4,Prepare a sharing session for S.4 students to help them prepare for senior forms.,What challenges S.4 students can expect; how to help S.4 students develop good habits; other advice to give S.4 students.,Avoiding multitasking; study groups; asking for help; time management challenges in senior forms.,3
2023,6.3,Hong Kong Culture / School Life,Performance acts for hire,"Choose one act (Band, Comedian, or Lion Dance) for the school anniversary.",What students would like about each act; other important factors when choosing an act; the best option for the school's celebration.,Cultural value vs entertainment; cost and stage requirements; student preferences; memorable celebrations.,3
2023,7.1,Global Issues / Society,Cultural views of time,Discuss how different cultures view time and punctuality.,Hong Kong people's attitude towards time; whether attitudes towards time are changing; how to live a more slow-paced life.,Time is money mindset; fast-paced vs slow-paced lifestyles; work-life balance in HK; cultural respect and schedules.,3
2023,7.2,Education / Work,Video game developer intern,Discuss whether a summer internship advertisement should be posted for the Career Team.,How students can benefit from internships; whether a video game internship is a suitable choice; ways the Career Team can promote internships.,Knowledge of coding/animation; team work and problem solving; professional vs violent content; career benefits of early level positions.,3
2023,7.3,Environment / Social Media,Wild animals as pets (Otters),Discuss animal conservation and the impact of the Instagram craze on pets.,The advantages of keeping wild animals as pets; the disadvantages of keeping wild animals as pets; how social media may affect the choice of pets.,Otter cafes in Japan; 'cute' animals for likes; lack of correct nutrition and space in homes; animal rights.,3
2023,8.1,Environment / Health,Eating insects,Discuss insects as the future of food for a class project.,How eating insects can benefit people and the environment; why people may not want to eat insects; how to promote insects as food.,Nutritious and green; high protein content; reduced greenhouse gases; cultural resistance to eating bugs.,3
2023,8.2,Health / Society,Walking-friendly cities,Discuss an active lifestyle and cities like Hong Kong.,What makes Hong Kong suitable for walking; what discourages people from walking in Hong Kong; whether you think Hong Kong people are active.,Walkable city design; health benefits (prolonged life); necessity vs choice; convenience and lack of training needed.,3
2023,8.3,Hong Kong Culture / Education,Harbourside Classical Music,Discuss the Harbourside Concert Series and introducing classical music to students.,Whether the Harbourside Concert Series will be popular with young people; how to promote the event in school; other ways to introduce classical music to students.,Spectacular Victoria Harbour backdrop; up-and-coming youth stars; indoor vs outdoor concert preferences; tourism attraction.,3
2019,1.1,Social Issues,Redevelopment of old districts,Discuss problems redevelopment causes for residents and traditional shops.,Why old districts are redeveloped; what problems redevelopments cause; what the government should do to reduce problems for residents.,High rents; forced to leave; loss of traditional flavour; noise complaints; gentrification (hipsters).,4
2019,1.2,Hong Kong Culture,Wedding photography styles,"Discuss different styles of wedding photos (Creative, Glamour, Storytelling, Studio).",Why wedding photographs are important; what is important for wedding photos to show; which style you think is most popular.,Creative/Glamour/Storytelling/Studio; memories; professional quality; sharing; expense vs. value.,4
2019,1.3,Social Issues,Online scams and crimes,Discuss the serious problem of online crime in Hong Kong.,Whether online crime is a serious problem; what type of online crimes students should worry about most; how students should protect themselves.,Romance scams; hacking/passwords; shopping fraud; banking scams; school safety education.,4
2019,2.1,Hong Kong Culture,Fortune telling,Discuss the cultural importance and future popularity of fortune telling in Hong Kong.,Why people like going to fortune tellers; why it is an important part of Chinese culture; whether it will remain popular in the modern world.,Culture/science; palm/face reading; Chinese zodiac; real HK culture; curious travellers; belief.,4
2019,2.2,Technology / Social Media,Screen Time Control app,Discuss whether parents should use software to control students' screen time.,Whether parents should control screen time; advantages and disadvantages of software; whether software is the best way to limit screen time.,Managing usage; Downtime feature; family relationships; trust; blocking adult content; school homework sites.,4
2019,2.3,Global Issues,International sports development,Discuss the development of sport in Hong Kong using Iceland as an example.,Whether Hong Kong is successful in international sport; whether sport is important to HK people; what HK can learn from other countries.,Investing in facilities; training coaches; international culture; interest of athletes; Olympic committees.,4
2019,3.1,Technology / Social Media,Future of social media,Discuss the decline of Facebook among youth and general privacy issues.,Whether young people in Hong Kong use Facebook; advice for people using Facebook; whether social media will continue to be popular.,'Uncool' status; Snapchat trend; privacy/security; checking job applicants; lonely feelings; fake news.,4
2019,3.2,Social Issues,Gender pay gap,Discuss workplace discrimination and reasons why women are paid less than men.,Whether there are differences in job performance; why women are generally paid less; how the gender pay gap could be reduced.,Discrimination; hourly vs. monthly; family care; traditional views; illegal pay differences; safe investment.,4
2019,3.3,School Life,Cheating in school,Discuss the causes and solutions for student cheating and copying homework.,Why students cheat; whether cheating is a common problem; suitable ways of dealing with the problem.,Copying; identical assignments; internet buy-essays; technology aids; detention vs. parent meetings.,4
2019,4.1,Social Issues,Urban politeness,Discuss selfish attitudes and politeness in crowded areas (e.g. lift buttons).,Which point of view you agree with; other situations when crowded places cause problems; how to deal with these problems.,Door close button; selfishness; offering seats; busy people; teaching politeness; city impact.,4
2019,4.2,Hong Kong Culture,Unusual English names,Discuss the trend and problems of using unique/strange English names in HK.,How students choose their English name; suitable and unsuitable types of names; what problems unusual names cause.,Unique ID; brands (Chanel/Rolex); misspellings; business desirability; teacher memory; fashion trends.,4
2019,4.3,School Life,Person of the Year (Role Models),Suggest role models to be selected as 'Person of the Year' to encourage students.,What can be learned from role models; why some students may not select listed nominees; other potential nominees.,Alan Tam (talents); Dodo Cheng (hard work); Sarah Lee (overcoming illness); Carrie Lam (Chief Executive).,4
2019,5.1,Social Issues,CCTV surveillance and privacy,Discuss the introduction of CCTV cameras in school and its effect on privacy.,Advantages and disadvantages of CCTV; what rules there should be about the use of CCTV in school.,Reducing crime; privacy concerns; magic anti-crime system; Hospital Authority cameras; public security.,4
2019,5.2,Education,Studying in mainland China,Facilitate a Q&A about the new HKUST Guangzhou campus and studying on the Mainland.,Why HK universities develop on the Mainland; problems students may face; advice for students thinking about studying on the Mainland.,Academic ties; Nansha location; limited space in HK; studying on Mainland; advice for students.,4
2019,5.3,Global Issues,Space travel and tourism,Discuss whether space travel is a good use of money for a class essay.,Why people are so interested in space travel; whether space tourism will become popular; whether there are better ways to spend money.,SpaceX/Elon Musk; Japanese billionaire; artists in space; lunar orbit; cost (US$150M); space stations.,4
2019,6.1,Environment,Culling wild animals,Discuss whether selective killing should be used to control animal numbers.,Why governments use selective killing; other methods of controlling animal numbers; whether or not you support culling.,Managing population; complaints (monkeys); birth control; feeding wild animals; animal welfare.,4
2019,6.2,Technology / Social Media,Translation apps,Discuss the impact of translation devices on language learning.,Advantages and disadvantages of translation devices; whether they should be allowed at school; whether learning languages is still important.,Google Translate; hotel staff; miscommunication; business/tourism; essential technology.,4
2019,6.3,Social Issues,Risky Selfies,Discuss the popularity and safety concerns of taking selfies in risky places.,Why selfies are popular; dangers caused by taking selfies; why people are willing to take such risks.,Drowning; transport accidents; no-selfie zones; influencers; young victim statistics; photography society.,4
2019,7.1,Hong Kong Culture,Promoting Yuenyeung,Think of a name and promotion strategies for the Hong Kong drink 'Yuenyeung'.,A suitable name for the drink; why this name is suitable; how else the government could promote the drink.,Tea and coffee mix; Tourism Board; mandarin ducks; bubble tea/Coke; cultural promotion.,4
2019,7.2,Hong Kong Culture,Digital lai see,Discuss the shift from real money to e-payments for Lunar New Year lai see.,Why people are using e-payments for lai see; whether real money will remain popular; other changes to Lunar New Year that people might dislike.,Alipay/Apple Pay; convenience; digital era; tradition vs. new habits; Lunar New Year values.,4
2019,7.3,Social Issues,Wealth inequality,Discuss inequality in Hong Kong and ways to help reduce the wealth gap.,Whether Hong Kong is an unequal society; why unequal societies have problems; policies to make Hong Kong more equal.,Gini co-efficient; wealth gap; poorest 10% income; minimum wage; poverty reduction targets.,4
2019,8.1,Social Issues,Co-living,"Discuss the advantages, disadvantages, and rules of co-living spaces for young people.",The advantages and disadvantages of co-living; what rules co-living accommodation should have.,Sharing space; community spirit; affordable rent; private space; safety; safe sleep; safety; university halls.,4
2019,8.2,Social Issues,McSleepers (Homelessness),Discuss the issue of homeless people sleeping in 24-hour McDonald's restaurants.,What problems homeless people face; why they go to McDonald's; how this affects the business.,Housing crisis; 24-hour restaurants; air-con/security; government shelters; kindness; private help.,4
2019,8.3,Global Issues,Age limits for leaders,Discuss whether there should be an age limit for heads of state or government.,Skills a political leader needs; strengths and limitations of older leaders; whether age should be a factor in selection.,Wisdom/experience; physical/mental demands; understanding modern world; age discrimination.,4
2018,1.1,Social Issues / Elderly,Helpers for Elderly,Discuss providing domestic helpers for elderly living alone in public housing.,Why the government suggested the idea; advantages and disadvantages; other ways to help elderly people living alone.,Hiring hassles; crowded space; relationship risks; alternative (care homes); community care vouchers; loneliness.,5
2018,1.2,Hong Kong Culture / Environment,City Farms,Discuss renting a piece of farmland near school for a class farm.,The benefits of renting farmland; whether students would be interested; how to organise a class farm.,Getting back to nature; growing food; community atmosphere; school farming; young vs. old interest; food taste.,5
2018,1.3,Education / Technology,Texting Teachers after Hours,Discuss students and teachers texting each other via instant messaging.,Why students and parents want to text teachers; advantages and disadvantages; what schools can do to improve communication.,Real-time communication; WhatsApp groups; leisure time; professional boundaries; rules about texting.,5
2018,2.1,Technology / Social Issues,Cashless Society,Discuss a society where paper money and coins are no longer used.,Why shops prefer phone payments; problems a cashless society may cause; whether HK should be cash-free in the near future.,City hunt/silly tasks; campfire; bonding/friendships; adapting to university; organizing by students.,5
2018,2.2,Technology / Law,Fake News and Censorship,Prepare for a debate on whether the internet should be censored due to fake news.,Arguments for and against the motion; which side would be easier to argue.,Short distance commutes; affordable; solar panels; parking issues; government safety; sharing economy.,5
2018,2.3,Education / Social Issues,Cash Gifts for Candidates,Discuss a scheme giving HK$5000 to DSE candidates.,Advantages and disadvantages; whether students will spend money wisely; whether it should be available for all HK students.,Unconditional cash; focusing on exams; poverty districts; managing money; charity for wealthy.,5
2018,3.1,Mental Health / Technology,Doing Nothing,Discuss why letting students do nothing can be a good thing.,Whether students have enough free time; advantages and disadvantages of doing nothing; explaining the value to parents.,Tech addiction; boost creativity; new hobbies; stress relief; daydreaming; restricted imagination.,5
